Input,Filtered
-725.0,-419.429
-725.0,-421.905
-654.0,-421.0
-654.0,-433.571
-426.0,-435.286
-149.0,-433.143
-149.0,-435.238
-7.0,-430.571
-7.0,-422.857
29.0,-413.429
-947.0,-445.333
-804.0,-465.0
-804.0,-484.667
-587.0,-487.619
-305.0,-477.143
-305.0,-469.333
39.0,-445.381
39.0,-421.429
261.0,-383.429
261.0,-345.429
164.0,-307.381
10.0,-272.381
10.0,-237.381
-219.0,-216.667
-219.0,-195.952
-405.0,-194.952
-688.0,-220.619
-688.0,-246.286
-959.0,-291.619
-959.0,-336.952
-1109.0,-391.143
-1087.0,-397.81
-1087.0,-411.286
-1006.0,-420.905
-1006.0,-440.857
-891.0,-468.762
-687.0,-486.952
-687.0,-521.524
-445.0,-544.571
-445.0,-578.191
-207.0,-600.476
-7.0,-608.619
-753.0,-644.952
-753.0,-681.286
-673.0,-702.905
-604.0,-721.238
-604.0,-730.714
-495.0,-721.524
-495.0,-712.333
-404.0,-685.905
-378.0,-658.238
-378.0,-623.429
-361.0,-588.857
-361.0,-554.286
-327.0,-521.952
-390.0,-492.619
-390.0,-468.762
-585.0,-463.905
-585.0,-459.048
-677.0,-470.095
-587.0,-476.857
-587.0,-494.952
-366.0,-512.048
-366.0,-493.619
-286.0,-471.381
-333.0,-455.19
-333.0,-442.286
-308.0,-428.19
-308.0,-419.286
-162.0,-403.429
-45.0,-386.333
-45.0,-370.476
18.0,-351.619
18.0,-333.571
-601.0,-345.0
-601.0,-358.048
-301.0,-353.81
-301.0,-349.571
-79.0,-325.476
144.0,-290.762
144.0,-251.667
267.0,-211.0
267.0,-170.333
240.0,-141.476
189.0,-115.048
189.0,-92.429
254.0,-64.476
254.0,-36.524
309.0,-7.143
166.0,15.429
166.0,31.048
-257.0,20.952
-257.0,10.857
-627.0,-19.857
-933.0,-65.143
-933.0,-80.952
-1264.0,-112.524
-1264.0,-158.381
-1436.0,-212.429
-1407.0,-275.667
-1407.0,-349.524
-1148.0,-411.048
-1148.0,-478.429
-778.0,-528.19
-385.0,-557.952
-385.0,-585.286
-615.0,-623.571
-897.0,-678.381
-897.0,-733.19
-1071.0,-798.905
-1376.0,-872.333
-1376.0,-945.762
-1305.0,-995.667
-1305.0,-1045.571
-897.0,-1058.429
-487.0,-1037.19
-487.0,-1015.952
155.0,-948.381
155.0,-880.81
558.0,-785.857
380.0,-700.762
380.0,-615.667
-5.0,-561.238
-5.0,-506.81
-92.0,-474.143
16.0,-455.048
16.0,-435.952
-113.0,-412.048
-113.0,-374.714
-552.0,-358.286
-1156.0,-362.333
-1156.0,-351.857
-1409.0,-353.429
-1409.0,-358.381
-1183.0,-352.571
-755.0,-345.81
-755.0,-358.571
-429.0,-355.81
-340.0,-379.381
-707.0,-420.429
-707.0,-480.667
-858.0,-539.619
-858.0,-598.571
-957.0,-643.905
-1051.0,-693.714
-1051.0,-739.381
-904.0,-783.19
-904.0,-827.0
-621.0,-851.19
-249.0,-857.667
-249.0,-843.238
107.0,-783.095
107.0,-722.952
286.0,-642.238
81.0,-571.286
81.0,-511.095
-133.0,-481.476
-133.0,-451.857
-198.0,-440.857
-222.0,-435.238
-222.0,-412.143
-130.0,-384.667
-130.0,-350.0
-270.0,-322.0
